ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
227353_at,-1.708960486,9.469570856,-3.377933998,0.001989996,0.031139957,-1.465102688
1560353_at,-1.798756067,5.44319926,-3.377103328,0.001994375,0.031190635,-1.467118274
239394_at,1.866646579,7.247884858,3.376895021,0.001995475,0.031198909,-1.467623688
226418_at,1.644497795,6.09293557,3.375951299,0.002000464,0.031241184,-1.469913265
219841_at,-3.248434256,3.910976836,-3.374845122,0.002006328,0.031243514,-1.472596622
211742_s_at,-1.988032501,8.753319326,-3.37310357,0.002015593,0.031360998,-1.476820489
216089_at,2.101694238,4.136762288,3.372810903,0.002017154,0.031376358,-1.477530216
228587_at,1.72116845,9.84194737,3.371932528,0.002021846,0.031400961,-1.479660139
243519_at,-1.94653963,4.037046039,-3.371482567,0.002024254,0.031407047,-1.480751129
213156_at,-1.529268265,10.21946441,-3.36669351,0.002050051,0.031698676,-1.492358905
242385_at,-1.587625076,5.420233466,-3.366195883,0.002052749,0.031726241,-1.493564648
205948_at,-1.983331701,4.05935574,-3.365467936,0.002056703,0.031756633,-1.495328307
1562443_at,1.662710154,4.905913915,3.365190803,0.00205821,0.03175668,-1.495999698
207634_at,-1.776661766,5.175397793,-3.364829085,0.002060179,0.03177082,-1.496875971
232676_x_at,-2.176660875,7.000768504,-3.363996489,0.002064717,0.031799555,-1.4988928
236271_at,1.936350296,5.276452473,3.362780644,0.002071362,0.031874959,-1.501837597
206840_at,1.779258302,4.90860999,3.361593171,0.002077872,0.031930198,-1.504713225
215443_at,-2.242589663,3.305345106,-3.361005431,0.002081101,0.031970835,-1.506136352
1553691_at,2.319009961,4.379609866,3.359903269,0.00208717,0.032012177,-1.508804784
219041_s_at,-1.559095331,10.00323602,-3.3595769,0.00208897,0.032012177,-1.509594878
234787_at,-2.027981699,2.77331562,-3.359057707,0.002091837,0.032012177,-1.510851704
242583_at,1.755814824,6.868006353,3.35882923,0.0020931,0.032012177,-1.511404757
205941_s_at,3.026467538,8.29996553,3.358818325,0.00209316,0.032012177,-1.511431153
227676_at,-3.088347846,8.970134238,-3.358178025,0.002096703,0.032044259,-1.512980979
210492_at,2.076075779,4.525750119,3.35749197,0.002100506,0.032065305,-1.51464141
1559618_at,-1.914154956,6.393873475,-3.356515667,0.002105929,0.032101713,-1.517004058
1570093_at,1.654828488,4.881418742,3.35649206,0.00210606,0.032101713,-1.517061185
204960_at,-2.885704814,7.819681802,-3.355234676,0.002113065,0.032180326,-1.520103592
205518_s_at,-1.524188679,8.201337924,-3.354666349,0.002116238,0.032180326,-1.521478569
